"Date","Price","Open","High","Low","Change %"
"Jan 21, 2019","1,279.78","1,282.67","1,283.61","1,276.88","-0.23%"
"Jan 20, 2019","1,282.68","1,281.65","1,283.36","1,281.65","0.08%"
"Jan 18, 2019","1,281.63","1,292.42","1,292.52","1,280.72","-0.83%"
"Jan 17, 2019","1,292.38","1,293.04","1,295.42","1,288.85","-0.05%"
"Jan 16, 2019","1,293.05","1,289.68","1,295.03","1,287.99","0.26%"
"Jan 15, 2019","1,289.69","1,291.60","1,294.76","1,286.91","-0.15%"
"Jan 14, 2019","1,291.60","1,288.19","1,295.92","1,288.02","0.26%"
"Jan 13, 2019","1,288.20","1,287.65","1,288.69","1,287.52","0.04%"
"Jan 11, 2019","1,287.64","1,288.06","1,295.21","1,287.08","-0.03%"
"Jan 10, 2019","1,288.04","1,293.01","1,297.12","1,286.20","-0.38%"
"Jan 09, 2019","1,293.01","1,285.20","1,293.98","1,280.20","0.61%"
"Jan 08, 2019","1,285.21","1,288.94","1,290.27","1,279.44","-0.29%"
"Jan 07, 2019","1,288.97","1,284.32","1,295.13","1,282.72","0.36%"
"Jan 06, 2019","1,284.31","1,285.81","1,286.39","1,284.24","-0.04%"
"Jan 04, 2019","1,284.81","1,295.27","1,298.53","1,276.77","-0.81%"
"Jan 03, 2019","1,295.28","1,285.93","1,295.31","1,284.69","0.73%"
"Jan 02, 2019","1,285.94","1,282.37","1,290.30","1,278.79","0.26%"
"Jan 01, 2019","1,282.62","1,283.13","1,283.24","1,282.62","-0.02%"
